IRIS;P20_POP;P20_POP0014;P20_POP1529;P20_POP3044;P20_POP4559;P20_POP6074;P20_POP75P
352380602;3045.28657;331.2065652;1223.062678;450.7398367;462.8076485;240.5834298;336.8864115
350650000;2244;422;353;406;484;456;123
350790000;2355;528;351;485;548;330;113
353530000;6234;1016.857337;1404.74028;1454.041419;1012.089433;811.0529768;535.2185538
352160000;1794;497;297;461;353;139;47
350580000;1302;352.7853017;187.9354467;351.7666647;222.2040447;132.0654747;55.24306746
351200000;5685;1364.019901;932.2932991;1350.040713;1091.295531;682.4310056;264.9195502
350880000;3526;764.1257856;582.8607967;701.8633384;772.7576294;448.3978566;255.9945933
352500000;2219;459.7488363;428.1869507;467.7045332;495.2613715;278.0218049;90.07650346
350010102;4321.743479;900.8125811;762.5038231;902.317332;977.7543389;552.3824839;225.9729202
352060101;3361.146207;484.4281983;557.9399824;545.0357281;766.0993491;702.6853342;304.9576154
352100102;1796.039235;285.9070037;257.748503;250.7821401;435.0361287;274.951161;291.6142983
350240102;1947.093475;290.4404569;275.2225406;231.2157835;554.8511315;470.3320434;125.0315186
350470105;2528.628527;311.9739121;1046.947413;223.6030099;484.7123207;329.3916144;132.0002562
350470106;1519.843312;188.8309473;212.3847882;161.2168126;545.5596157;327.0238073;84.82734065
350660103;115.7447321;19.12820952;16.0380659;26.04087158;13.10046152;28.96300049;12.47412312
353520102;3172;594;558;550;962;406;102
350510103;3048.641545;283.6535291;1250.299343;452.4158451;331.6102611;502.9292787;227.7332879
350510202;1145.398738;150.8472136;285.9100039;269.4389955;143.9006488;159.3431297;135.9587463
352381104;2088.365315;588.8765885;475.3796811;483.5760264;279.8856381;195.8319845;64.8153967
350240103;2898.376886;513.1417063;543.2264553;656.9119922;519.3239171;406.7127498;259.0600654
352380905;244.2280306;59.47912925;37.47166643;54.6948053;44.12058505;32.37040144;16.09144319
352380804;2267.252624;310.6309756;683.7778285;529.7656497;378.279605;203.4104299;161.3881348
352380109;1596.528441;105.3148532;827.2635982;302.7083799;202.757879;119.702125;38.78160599
352381205;2443.479735;288.1558324;667.400147;439.6040601;415.4858914;333.6413885;299.1924157
352381108;1647.141815;221.6559533;342.9856463;329.240215;261.9435063;323.7613532;167.555141
352381103;1925.152502;383.8341435;321.1998142;308.2272594;346.268819;291.6335249;273.9889405
352380105;2329.139174;177.4658827;1012.979116;378.1777115;332.4632622;246.5629341;181.490268
352380402;4440.574982;605.7781492;1478.576326;902.2376648;692.259315;441.1870134;320.5365139
352381005;1929.659664;253.8883014;877.1562783;286.8423238;149.2162732;195.3363652;167.2201221
352380302;2558.212395;246.8148108;813.1954357;603.9129842;301.7594375;272.0178972;320.5118296
